model,accuracy,precision,recall,f1,mcc
gradient_boosted_trees,0.9771915361363012,0.9777425324849589,0.9771915361363012,0.9772013604645732,0.9548841250837306
random_forest,0.9699093157460841,0.9710834222447153,0.9699093157460841,0.969922693337411,0.9409472678599179
logistic_regression,0.8337455344874966,0.8339945426606736,0.8337455344874966,0.8337972420334243,0.667268868805481
