attribute,q1,q3,lower_bound,upper_bound
u1_norm,236.11,241.0,228.77500000000003,248.33499999999998
u2_norm,236.20000000000002,241.04,228.94000000000005,248.29999999999995
u3_norm,236.67000000000002,241.0,230.17500000000004,247.49499999999998
i1_norm,0.0,10.4,-15.600000000000001,26.0
i2_norm,0.176,10.200000000000001,-14.860000000000001,25.236000000000004
i3_norm,0.0,10.200000000000001,-15.3,25.5
