attribute,importance
i2_norm_max,0.15827360365873602
i2_norm_avg,0.14658074215594669
i1_norm_max,0.13107414207601958
i1_norm_avg,0.12150351016574128
i3_norm_max,0.07682248320344384
i3_norm_avg,0.06599038412173816
i2_norm_min,0.03781749050085561
i3_norm_min,0.03253432195914477
u2_norm_avg,0.025976117821220602
i1_norm_min,0.023893454471490296
u2_norm_max,0.02329506617980513
u3_norm_max,0.021966822869055668
u3_norm_avg,0.02146384588584817
i1_norm_skewness,0.013624459178204968
u2_norm_min,0.01232921302930561
u1_norm_max,0.01166292592676824
u1_norm_avg,0.011600896597815526
u3_norm_min,0.010502318583703363
i1_norm_kurtosis,0.007905443161102628
u1_norm_min,0.007516340353705846
u1_norm_kurtosis,0.007162000663597773
i3_norm_kurtosis,0.004657406886789826
i3_norm_skewness,0.0046023596664658654
u3_norm_kurtosis,0.004551675821476371
u3_norm_skewness,0.0041852398711355755
i2_norm_skewness,0.003457783922447728
u2_norm_skewness,0.0034276868051701715
u2_norm_kurtosis,0.00205905043291481
i2_norm_kurtosis,0.0020220959711207565
u1_norm_skewness,0.001526751150078308
n_samples,1.4366909150651031e-05
