model,accuracy,precision,recall,f1,mcc
random_forest,0.9530571992110454,0.9590648041798305,0.9530571992110454,0.9547513875513561,0.9334892171492156
decision_tree,0.9057199211045365,0.9445145602631959,0.9057199211045365,0.9200569203885464,0.8730777440747634
logistic_regression,0.7412228796844181,0.8657003172817869,0.7412228796844181,0.7765983664561731,0.6777234169796821
